person_age,gender,marital_status,income,no.of_dependents,person_emp_length,employment_stability,person_home_ownership,home_value,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,assets_worth,debt-asset_ratio,debt-income_ratio,tax,no.of _credit _cards,creditcard_usage%,cb_person_default_on_file,c_ length,defaulted_90d,defaulted_180d,defaulted_365d
23,Male,Un-Married,71500,3,3,2,RENT,-,DEBTCONSOLIDATION,D,30000,,1,3913217,0.77%,42.00%,10,2,7,N,4,Non-def,Non-def,Non-def
26,Male,Married,62050,6,6,3,RENT,-,MEDICAL,E,30000,17.99,1,2406218,1.25%,41.00%,10,0,11,N,2,Non-def,Non-def,Non-def
24,Female,Un-Married,12000,4,4,2,OWN,4401936,VENTURE,B,2500,12.69,1,7385747,0.03%,21.00%,5,0,36,N,3,Non-def,Non-def,Non-def
26,Male,Married,300000,6,10,3,MORTGAGE,7565953,VENTURE,A,20000,7.88,0,5913839,0.34%,7.00%,15,1,1,N,4,Non-def,Non-def,Non-def
23,Male,Un-Married,300000,1,1,1,OWN,5419927,EDUCATION,F,24250,19.41,0,3991856,0.61%,8.00%,15,0,22,Y,2,Y,Y,Y
26,Male,Married,300000,6,9,3,OWN,5138924,HOMEIMPROVEMENT,B,10000,10.38,0,3357295,0.30%,3.00%,15,3,55,N,4,Non-def,Non-def,Non-def
26,Male,Married,300000,0,0,1,MORTGAGE,5195195,EDUCATION,D,25000,15.33,0,7792894,0.32%,8.00%,15,3,23,N,3,Non-def,Non-def,Non-def
25,Male,Married,300000,5,9,3,MORTGAGE,8048980,HOMEIMPROVEMENT,E,18000,16.45,0,5371612,0.34%,6.00%,15,1,62,N,3,Non-def,Non-def,Non-def
26,Male,Married,80690,4,8,3,RENT,-,PERSONAL,A,30000,7.49,1,3164120,0.95%,37.00%,15,0,62,N,3,Non-def,Non-def,Non-def
22,Female,Un-Married,66300,3,4,2,RENT,-,MEDICAL,B,30000,12.69,1,6443884,0.47%,38.00%,10,1,7,N,3,Non-def,Non-def,Non-def
26,Male,Married,89028,3,0,1,RENT,-,DEBTCONSOLIDATION,A,30000,6.62,1,8847640,0.34%,34.00%,15,3,23,N,3,Non-def,Non-def,Non-def
24,Female,Un-Married,78000,5,4,2,RENT,-,DEBTCONSOLIDATION,D,30000,,1,3291793,0.91%,38.00%,15,0,52,Y,4,Y,Y,Y
23,Female,Un-Married,78000,0,7,3,RENT,-,DEBTCONSOLIDATION,F,30000,18.62,1,7943829,0.38%,38.00%,15,3,39,Y,3,N,N,Y
23,Male,Un-Married,92004,0,6,3,RENT,-,PERSONAL,C,30000,15.23,1,1733947,1.73%,33.00%,15,1,44,Y,3,N,Y,Y
23,Female,Un-Married,97000,4,7,3,RENT,-,VENTURE,B,30000,10.65,1,5870168,0.51%,31.00%,15,2,68,N,2,Non-def,Non-def,Non-def
25,Female,Married,120000,4,9,3,RENT,-,EDUCATION,A,30000,7.9,0,5449138,0.55%,25.00%,15,0,43,N,4,Non-def,Non-def,Non-def
26,Female,Married,280000,6,4,2,RENT,-,PERSONAL,C,10000,15.96,0,1675102,0.60%,4.00%,15,3,6,Y,3,N,Y,Y
26,Female,Married,277104,6,0,1,RENT,-,VENTURE,B,20000,11.48,0,4533059,0.44%,7.00%,15,2,17,N,3,Non-def,Non-def,Non-def
23,Female,Un-Married,277000,6,3,2,OWN,9884392,PERSONAL,A,35000,,0,4921804,0.71%,13.00%,15,1,2,N,4,Non-def,Non-def,Non-def
25,Female,Married,128000,4,9,3,RENT,-,PERSONAL,A,30000,7.29,0,3964895,0.76%,23.00%,15,3,52,N,4,Non-def,Non-def,Non-def
24,Male,Un-Married,12000,3,2,2,OWN,7053771,VENTURE,E,1750,,0,2439111,0.07%,15.00%,5,0,60,Y,3,N,N,Y
21,Male,Un-Married,131000,5,0,1,RENT,-,VENTURE,A,30000,5.99,0,2434661,1.23%,23.00%,15,0,8,N,4,Non-def,Non-def,Non-def
22,Female,Un-Married,275000,6,6,3,OWN,7017578,VENTURE,B,12000,11.58,0,8279611,0.14%,4.00%,15,1,67,N,2,Non-def,Non-def,Non-def
26,Female,Married,263000,2,0,1,MORTGAGE,8968372,EDUCATION,B,10000,,1,6846137,0.15%,4.00%,15,1,52,N,4,Non-def,Non-def,Non-def
25,Female,Married,221850,4,9,3,MORTGAGE,9603430,MEDICAL,D,25000,15.7,1,4781093,0.52%,10.00%,15,3,28,N,2,Non-def,Non-def,Non-def
22,Female,Un-Married,70000,1,6,3,RENT,-,EDUCATION,D,29100,15.99,1,1508454,1.93%,42.00%,10,1,35,N,3,Non-def,Non-def,Non-def
22,Female,Un-Married,12000,2,7,3,MORTGAGE,4948254,EDUCATION,D,1500,14.84,0,6503307,0.02%,13.00%,5,2,43,Y,3,Y,Y,Y
26,Male,Married,260000,2,10,3,OWN,9790694,HOMEIMPROVEMENT,B,28000,10.99,0,6943424,0.40%,11.00%,15,0,13,N,3,Non-def,Non-def,Non-def
25,Male,Married,259000,1,9,3,MORTGAGE,7113185,HOMEIMPROVEMENT,D,20000,14.42,0,7072376,0.28%,8.00%,15,2,51,Y,2,N,Y,Y
24,Male,Un-Married,255000,3,9,3,MORTGAGE,5532687,EDUCATION,A,9600,6.99,0,1264376,0.76%,4.00%,15,1,11,N,2,Non-def,Non-def,Non-def
25,Female,Married,250000,1,2,2,RENT,-,MEDICAL,C,25000,13.49,0,5719365,0.44%,10.00%,15,2,59,N,4,Non-def,Non-def,Non-def
25,Female,Married,12000,0,0,1,OWN,7073954,MEDICAL,C,3000,,1,4926445,0.06%,25.00%,5,3,68,N,3,Non-def,Non-def,Non-def
22,Male,Un-Married,56950,4,6,3,RENT,-,MEDICAL,A,28000,,1,5352574,0.52%,49.00%,10,1,41,N,2,Non-def,Non-def,Non-def
21,Male,Un-Married,12000,3,6,3,OWN,5687415,EDUCATION,C,3000,13.61,1,1715469,0.17%,25.00%,5,0,16,Y,3,N,N,Y
23,Male,Un-Married,65000,5,2,2,RENT,-,EDUCATION,A,28000,7.9,1,7028834,0.40%,43.00%,10,3,26,N,2,Non-def,Non-def,Non-def
26,Female,Married,85000,1,2,2,RENT,-,VENTURE,A,28000,7.49,1,8538306,0.33%,33.00%,15,0,69,N,3,Non-def,Non-def,Non-def
26,Male,Married,12000,2,2,2,OWN,4277034,EDUCATION,A,6100,7.51,1,7625173,0.08%,51.00%,5,3,60,N,3,Non-def,Non-def,Non-def
22,Male,Un-Married,88000,3,6,3,RENT,-,VENTURE,B,28000,9.91,1,6703743,0.42%,32.00%,15,1,61,N,3,Non-def,Non-def,Non-def
21,Male,Un-Married,12000,3,0,1,OWN,9362594,PERSONAL,C,4200,13.48,1,4049932,0.10%,35.00%,5,0,45,Y,4,Y,Y,Y
22,Male,Un-Married,12000,4,6,3,OWN,4181314,DEBTCONSOLIDATION,A,4750,7.14,1,8744940,0.05%,40.00%,5,0,70,N,2,Non-def,Non-def,Non-def
24,Female,Un-Married,83004,4,0,1,RENT,-,VENTURE,D,28000,15.99,1,1980264,1.41%,34.00%,15,0,22,Y,4,Y,Y,Y
24,Female,Un-Married,250000,5,2,2,RENT,-,EDUCATION,C,18000,12.98,0,6507432,0.28%,7.00%,15,1,15,Y,3,N,N,Y
144,Female,Married,250000,1,4,2,RENT,-,VENTURE,C,4800,13.57,0,6898729,0.07%,2.00%,15,3,3,N,3,Non-def,Non-def,Non-def
25,Male,Married,100000,6,5,2,RENT,-,DEBTCONSOLIDATION,B,28000,12.69,0,6320050,0.44%,28.00%,15,3,13,N,3,Non-def,Non-def,Non-def
26,Female,Married,110000,4,10,3,RENT,-,EDUCATION,A,28000,8.9,0,3448555,0.81%,25.00%,15,3,28,N,2,Non-def,Non-def,Non-def
26,Male,Married,12000,3,0,1,OWN,8488694,DEBTCONSOLIDATION,A,2700,,1,2502010,0.11%,23.00%,5,3,57,N,4,Non-def,Non-def,Non-def
22,Male,Un-Married,108000,3,6,3,RENT,-,EDUCATION,B,28000,,1,5069940,0.55%,26.00%,15,3,40,N,4,Non-def,Non-def,Non-def
23,Female,Un-Married,151200,6,7,3,RENT,-,DEBTCONSOLIDATION,B,28000,11.11,0,1498108,1.87%,19.00%,15,3,2,N,2,Non-def,Non-def,Non-def
24,Male,Un-Married,69000,3,2,2,RENT,-,HOMEIMPROVEMENT,A,27600,,1,4929776,0.56%,40.00%,10,2,28,N,2,Non-def,Non-def,Non-def
21,Male,Un-Married,12000,5,5,2,MORTGAGE,5561658,DEBTCONSOLIDATION,E,3250,15.68,1,6150044,0.05%,27.00%,5,0,33,Y,3,Y,Y,Y
22,Male,Un-Married,70000,5,4,2,RENT,-,EDUCATION,C,27500,13.06,1,2673129,1.03%,39.00%,10,2,32,Y,3,Y,Y,Y
22,Female,Un-Married,240000,6,6,3,OWN,6938762,PERSONAL,B,25000,,0,1246875,2.01%,10.00%,15,0,8,N,2,Non-def,Non-def,Non-def
26,Male,Married,73200,0,5,2,RENT,-,VENTURE,D,27050,15.62,1,7044625,0.38%,37.00%,10,2,7,Y,2,Y,Y,Y
24,Female,Un-Married,83000,0,5,2,RENT,-,PERSONAL,C,27000,13.49,1,5303264,0.51%,33.00%,15,2,50,Y,2,Y,Y,Y
24,Female,Un-Married,73399,6,0,1,RENT,-,VENTURE,D,27000,,1,7866035,0.34%,37.00%,10,3,6,N,3,Non-def,Non-def,Non-def
23,Female,Un-Married,62500,1,7,3,RENT,-,MEDICAL,B,26000,11.71,1,4060385,0.64%,42.00%,10,3,4,N,2,Non-def,Non-def,Non-def
23,Female,Un-Married,120000,6,1,1,RENT,-,EDUCATION,B,25600,12.69,0,1270174,2.02%,21.00%,15,0,2,N,3,Non-def,Non-def,Non-def
24,Female,Un-Married,12360,6,2,2,OWN,8025143,MEDICAL,C,1600,13.57,0,3699558,0.04%,13.00%,5,2,53,N,3,Non-def,Non-def,Non-def
22,Male,Un-Married,60000,2,0,1,RENT,-,VENTURE,B,25475,10.99,1,2519971,1.01%,42.00%,10,2,23,N,3,Non-def,Non-def,Non-def
25,Female,Married,234000,4,3,2,MORTGAGE,8749142,MEDICAL,C,20000,14.27,0,6626038,0.30%,9.00%,15,3,4,Y,4,N,N,Y
24,Female,Un-Married,234000,1,8,3,OWN,5566100,HOMEIMPROVEMENT,B,20000,8.88,0,7786600,0.26%,9.00%,15,1,51,N,4,Non-def,Non-def,Non-def
26,Female,Married,234000,1,10,3,MORTGAGE,6436015,HOMEIMPROVEMENT,B,21600,12.18,0,8836426,0.24%,9.00%,15,1,16,N,3,Non-def,Non-def,Non-def
25,Female,Married,221004,0,6,3,MORTGAGE,5916906,DEBTCONSOLIDATION,D,11900,14.42,1,6505885,0.18%,5.00%,15,2,14,Y,3,N,N,Y
26,Male,Married,232500,0,0,1,MORTGAGE,9909897,MEDICAL,C,25000,14.17,0,7611824,0.33%,11.00%,15,1,5,Y,2,Y,Y,Y
25,Male,Married,230000,3,5,2,MORTGAGE,5742332,MEDICAL,C,35000,13.99,0,6362964,0.55%,15.00%,15,2,27,N,4,Non-def,Non-def,Non-def
23,Female,Un-Married,83000,3,7,3,RENT,-,EDUCATION,B,25300,10.99,1,2219648,1.14%,30.00%,15,0,61,N,3,Non-def,Non-def,Non-def
22,Female,Un-Married,12600,2,,1,MORTGAGE,7519140,PERSONAL,A,2000,5.42,1,8795859,0.02%,16.00%,5,2,26,N,4,Non-def,Non-def,Non-def
25,Female,Married,12600,6,3,2,OWN,8600606,PERSONAL,C,1750,13.61,0,1300722,0.13%,14.00%,5,1,21,N,3,Non-def,Non-def,Non-def
21,Male,Un-Married,42500,0,3,2,RENT,-,EDUCATION,C,25000,12.73,1,5238395,0.48%,59.00%,7,0,57,Y,3,Y,Y,Y
24,Female,Un-Married,41000,4,2,2,RENT,-,HOMEIMPROVEMENT,D,25000,,1,3525875,0.71%,61.00%,7,0,51,N,3,Non-def,Non-def,Non-def
25,Male,Married,12816,6,0,1,OWN,7862411,DEBTCONSOLIDATION,C,3000,12.87,1,1960318,0.15%,23.00%,5,3,63,Y,4,Y,Y,Y
24,Male,Un-Married,12960,3,1,1,MORTGAGE,7326119,HOMEIMPROVEMENT,B,3650,9.91,1,4696900,0.08%,28.00%,5,3,51,N,3,Non-def,Non-def,Non-def
26,Female,Married,226000,2,4,2,MORTGAGE,8101502,HOMEIMPROVEMENT,B,20000,11.49,0,6799920,0.29%,9.00%,15,1,21,N,4,Non-def,Non-def,Non-def
25,Male,Married,225000,0,0,1,MORTGAGE,4121132,HOMEIMPROVEMENT,E,30000,19.91,0,4148490,0.72%,13.00%,15,0,62,Y,2,Y,Y,Y
26,Male,Married,213000,3,6,3,MORTGAGE,8155863,EDUCATION,B,35000,10.65,1,6282507,0.56%,16.00%,15,1,66,N,2,Non-def,Non-def,Non-def
24,Female,Un-Married,225000,5,0,1,RENT,-,MEDICAL,B,6000,,0,6090568,0.10%,3.00%,15,2,31,N,4,Non-def,Non-def,Non-def
24,Female,Un-Married,12960,1,0,1,MORTGAGE,6253961,DEBTCONSOLIDATION,B,4500,11.83,1,1776756,0.25%,35.00%,5,0,62,N,4,Non-def,Non-def,Non-def
23,Female,Un-Married,12996,5,0,1,OWN,7988992,DEBTCONSOLIDATION,C,2400,13.49,1,5448930,0.04%,18.00%,5,1,66,Y,2,Y,Y,Y
22,Male,Un-Married,42000,1,6,3,RENT,-,MEDICAL,D,25000,14.59,1,8586419,0.29%,60.00%,7,2,21,Y,2,Y,Y,Y
26,Male,Married,48000,4,2,2,RENT,-,EDUCATION,B,25000,9.64,1,8733554,0.29%,52.00%,7,3,46,N,4,Non-def,Non-def,Non-def
25,Female,Married,12996,3,1,1,OWN,5735804,MEDICAL,D,3600,14.59,1,8632794,0.04%,28.00%,5,0,26,N,3,Non-def,Non-def,Non-def
22,Female,Un-Married,12996,5,1,1,OWN,9600993,EDUCATION,B,4750,,1,2641831,0.18%,37.00%,5,2,67,N,3,Non-def,Non-def,Non-def
25,Male,Married,42360,4,1,1,RENT,-,EDUCATION,E,25000,16.35,1,4238089,0.59%,59.00%,7,2,70,Y,3,Y,Y,Y
21,Female,Un-Married,49000,4,4,2,RENT,-,EDUCATION,B,25000,10.99,1,4368536,0.57%,51.00%,7,3,4,N,2,Non-def,Non-def,Non-def
25,Male,Married,225000,6,0,1,MORTGAGE,8425439,VENTURE,F,25000,18.67,0,1083174,2.31%,11.00%,15,3,69,N,2,Non-def,Non-def,Non-def
26,Male,Married,225000,5,1,1,RENT,-,EDUCATION,A,3000,9.32,0,6207667,0.05%,1.00%,15,0,1,N,4,Non-def,Non-def,Non-def
23,Female,Un-Married,225000,2,8,3,RENT,-,DEBTCONSOLIDATION,A,7500,8.63,0,7773274,0.10%,3.00%,15,0,7,N,2,Non-def,Non-def,Non-def
26,Female,Married,225000,3,2,2,MORTGAGE,6372830,VENTURE,B,25000,10.08,0,3093733,0.81%,11.00%,15,1,47,N,2,Non-def,Non-def,Non-def
22,Male,Un-Married,49464,6,5,2,RENT,-,PERSONAL,B,25000,11.83,1,3103737,0.81%,51.00%,7,3,16,N,3,Non-def,Non-def,Non-def
23,Male,Un-Married,50000,4,1,1,RENT,-,DEBTCONSOLIDATION,A,25000,7.9,1,4180136,0.60%,50.00%,10,0,0,N,3,Non-def,Non-def,Non-def
25,Female,Married,50000,2,4,2,RENT,-,HOMEIMPROVEMENT,A,25000,5.99,1,2732529,0.91%,50.00%,10,0,8,N,2,Non-def,Non-def,Non-def
24,Female,Un-Married,44000,3,2,2,RENT,-,DEBTCONSOLIDATION,D,25000,15.33,1,1570840,1.59%,57.00%,7,3,32,N,2,Non-def,Non-def,Non-def
23,Male,Un-Married,50000,6,1,1,RENT,-,VENTURE,B,25000,11.83,1,4308025,0.58%,50.00%,10,3,35,N,4,Non-def,Non-def,Non-def
22,Female,Un-Married,50004,5,0,1,RENT,-,VENTURE,B,25000,10.36,1,7032329,0.36%,50.00%,10,2,26,N,2,Non-def,Non-def,Non-def
22,Male,Un-Married,50004,6,3,2,RENT,-,VENTURE,C,25000,12.23,1,8085658,0.31%,50.00%,10,3,4,N,3,Non-def,Non-def,Non-def
22,Female,Un-Married,52000,1,2,2,RENT,-,EDUCATION,B,25000,11.11,1,4438113,0.56%,48.00%,10,2,64,N,4,Non-def,Non-def,Non-def
23,Female,Un-Married,13200,0,3,2,OWN,6403056,DEBTCONSOLIDATION,A,4950,7.9,1,1368500,0.36%,38.00%,5,0,45,N,4,Non-def,Non-def,Non-def
24,Female,Un-Married,220000,5,1,1,MORTGAGE,4678072,EDUCATION,B,25000,11.58,0,1137404,2.20%,11.00%,15,1,35,N,2,Non-def,Non-def,Non-def
23,Female,Un-Married,216000,6,5,2,MORTGAGE,8922853,DEBTCONSOLIDATION,A,21000,8.9,0,3297328,0.64%,10.00%,15,1,39,N,3,Non-def,Non-def,Non-def
25,Female,Married,216000,4,2,2,MORTGAGE,9640838,EDUCATION,D,25000,16.07,0,8578406,0.29%,12.00%,15,3,9,N,3,Non-def,Non-def,Non-def
26,Male,Married,216000,0,10,3,MORTGAGE,9114456,EDUCATION,C,20000,14.22,0,8418106,0.24%,9.00%,15,2,61,Y,2,N,Y,Y
23,Male,Un-Married,215000,6,7,3,MORTGAGE,9088773,MEDICAL,C,35000,14.79,0,3448714,1.01%,16.00%,15,0,37,Y,3,Y,Y,Y
26,Male,Married,215000,0,11,3,MORTGAGE,8049459,EDUCATION,A,12000,7.88,0,5877055,0.20%,6.00%,15,1,0,N,2,Non-def,Non-def,Non-def
23,Male,Un-Married,52000,5,1,1,RENT,-,PERSONAL,C,25000,13.22,1,5872042,0.43%,48.00%,10,3,52,N,2,Non-def,Non-def,Non-def
26,Female,Married,46000,3,2,2,RENT,-,DEBTCONSOLIDATION,D,25000,11.86,1,3886401,0.64%,54.00%,7,3,24,N,4,Non-def,Non-def,Non-def
22,Male,Un-Married,53000,0,5,2,RENT,-,EDUCATION,C,25000,13.43,1,5928595,0.42%,47.00%,10,1,63,Y,4,Y,Y,Y
26,Male,Married,47000,1,0,1,RENT,-,HOMEIMPROVEMENT,D,25000,15.28,1,4782921,0.52%,53.00%,7,2,20,Y,2,Y,Y,Y
23,Male,Un-Married,47000,5,1,1,RENT,-,VENTURE,E,25000,17.93,1,2208706,1.13%,53.00%,7,0,27,N,2,Non-def,Non-def,Non-def
23,Female,Un-Married,13200,4,2,2,MORTGAGE,5131669,EDUCATION,B,1400,9.25,0,8843336,0.02%,11.00%,5,2,51,N,4,Non-def,Non-def,Non-def
21,Male,Un-Married,13200,0,0,1,OWN,5661017,VENTURE,C,4500,12.98,1,4244362,0.11%,34.00%,5,0,62,N,4,Non-def,Non-def,Non-def
22,Male,Un-Married,210000,1,6,3,MORTGAGE,7006200,VENTURE,B,16000,10.62,0,5035321,0.32%,8.00%,15,2,42,N,4,Non-def,Non-def,Non-def
26,Male,Married,210000,5,10,3,OWN,9402877,PERSONAL,B,22000,11.83,0,3889422,0.57%,10.00%,15,2,50,N,4,Non-def,Non-def,Non-def
26,Male,Married,48000,1,5,2,RENT,-,VENTURE,F,25000,18.43,1,5791061,0.43%,52.00%,7,0,31,N,2,Non-def,Non-def,Non-def
22,Male,Un-Married,54996,4,6,3,RENT,-,EDUCATION,B,25000,,1,3337874,0.75%,45.00%,10,3,21,N,4,Non-def,Non-def,Non-def
24,Female,Un-Married,55000,4,4,2,RENT,-,HOMEIMPROVEMENT,D,25000,,1,1939855,1.29%,45.00%,10,0,17,Y,4,Y,Y,Y
23,Male,Un-Married,55000,5,4,2,RENT,-,EDUCATION,B,25000,11.36,1,8707139,0.29%,45.00%,10,3,9,N,3,Non-def,Non-def,Non-def
23,Female,Un-Married,55000,4,4,2,RENT,-,EDUCATION,D,25000,15.65,1,1999966,1.25%,45.00%,10,3,27,Y,3,N,Y,Y
24,Female,Un-Married,55164,2,8,3,RENT,-,PERSONAL,C,25000,13.22,1,8024756,0.31%,45.00%,10,1,41,Y,4,Y,Y,Y
26,Male,Married,56000,6,4,2,RENT,-,DEBTCONSOLIDATION,C,25000,12.87,1,2945625,0.85%,45.00%,10,2,10,N,2,Non-def,Non-def,Non-def
24,Female,Un-Married,203500,6,8,3,OWN,5457191,MEDICAL,C,20000,13.04,0,7247990,0.28%,10.00%,15,0,39,N,3,Non-def,Non-def,Non-def
23,Female,Un-Married,190000,2,5,2,MORTGAGE,4738113,EDUCATION,F,22000,17.58,1,2169377,1.01%,12.00%,15,1,4,Y,3,N,Y,Y
23,Female,Un-Married,13920,0,2,2,OWN,8737465,PERSONAL,E,7750,17.04,1,5488918,0.14%,56.00%,5,3,38,N,4,Non-def,Non-def,Non-def
24,Female,Un-Married,60000,1,0,1,RENT,-,PERSONAL,B,25000,10.99,1,6558823,0.38%,42.00%,10,2,51,N,3,Non-def,Non-def,Non-def
24,Female,Un-Married,60000,0,2,2,RENT,-,PERSONAL,B,25000,11.11,1,7266695,0.34%,42.00%,10,3,32,N,3,Non-def,Non-def,Non-def
